Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Abusar,Indicative,Past Perfect,había abusado,habías abusado,había abusado,habíamos abusado,habían abusado
Abusar,Indicative,Future Perfect,habré abusado,habrás abusado,habrá abusado,habremos abusado,habrán abusado
Abusar,Indicative,Conditional Perfect,habría abusado,habrías abusado,habría abusado,habríamos abusado,habrían abusado
Abusar,Subjunctive,Present,abuse,abuses,abuse,abusemos,abusen
Abusar,Subjunctive,Imperfect,abusara,abusaras,abusara,abusáramos,abusaran
Abusar,Subjunctive,Future,abusare,abusares,abusare,abusáremos,abusaren
Abusar,Subjunctive,Present Perfect,haya abusado,hayas abusado,haya abusado,hayamos abusado,hayan abusado
Abusar,Subjunctive,Past Perfect,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubieran abusado
Abusar,Subjunctive,Future Perfect,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubieren abusado
Abusar,Imperative,Affirmative,-,abusa,abuse,abusemos,abusen
Abusar,Imperative,Negative,-,no abuses,no abuse,no abusemos,no abusen
Acabar,Indicative,Present,acabo,acabas,acaba,acabamos,acaban
Acabar,Indicative,Preterite,acabé,acabaste,acabó,acabamos,acabaron
Acabar,Indicative,Imperfect,acababa,acababas,acababa,acabábamos,acababan
Acabar,Indicative,Present Continuous,estoy acabando,estás acabando,está acabando,estamos acabando,están acabando
Acabar,Indicative,Informal Future,voy a acabar,vas a acabar,va a acabar,vamos a acabar,van a acabar
Acabar,Indicative,Future,acabaré,acabarás,acabará,acabaremos,acabarán
Acabar,Indicative,Conditional,acabaría,acabarías,acabaría,acabaríamos,acabarían
Acabar,Indicative,Present Perfect,he acabado,has acabado,ha acabado,hemos acabado,han acabado
Acabar,Indicative,Past Perfect,había acabado,habías acabado,había acabado,habíamos acabado,habían acabado
Acabar,Indicative,Future Perfect,habré acabado,habrás acabado,habrá acabado,habremos acabado,habrán acabado
Acabar,Indicative,Conditional Perfect,habría acabado,habrías acabado,habría acabado,habríamos acabado,habrían acabado
Acabar,Subjunctive,Present,acabe,acabes,acabe,acabemos,acaben
Acabar,Subjunctive,Imperfect,acabara,acabaras,acabara,acabáramos,acabaran
Acabar,Subjunctive,Future,acabase,acabases,acabase,acabásemos,acabaseis
Acabar,Subjunctive,Present Perfect,haya acabado,hayas acabado,haya acabado,hayamos acabado,hayan acabado
Acabar,Subjunctive,Past Perfect,hubiera acabado,hubieras acabado,hubiera acabado,hubiéramos acabado,hubieran acabado
Acabar,Subjunctive,Future Perfect,hubiere acabado,hubieres acabado,hubiere acabado,hubiéremos acabado,hubieren acabado
Acabar,Imperative,Affirmative,-,acaba,acabe,acabemos,acaben
Acabar,Imperative,Negative,-,no acabes,no acabe,no acabemos,no acaben
Acampar,Indicative,Present,acampo,acampas,acampa,acampamos,acampan
Acampar,Indicative,Preterite,acampé,acampaste,acampó,acampamos,acamparon
Acampar,Indicative,Imperfect,acampaba,acampabas,acampaba,acampábamos,acampaban
Acampar,Indicative,Present Continuous,estoy acampando,estás acampando,está acampando,estamos acampando,están acampando
Acampar,Indicative,Informal Future,voy a acampar,vas a acampar,va a acampar,vamos a acampar,van a acampar
Acampar,Indicative,Future,acamparé,acamparás,acampará,acamparemos,acamparán
Acampar,Indicative,Conditional,acamparía,acamparías,acamparía,acamparíamos,acamparían
Acampar,Indicative,Present Perfect,he acampado,has acampado,ha acampado,hemos acampado,han acampado
Acampar,Indicative,Past Perfect,había acampado,habías acampado,había acampado,habíamos acampado,habían acampado
Acampar,Indicative,Future Perfect,habré acampado,habrás acampado,habrá acampado,habremos acampado,habrán acampado
Acampar,Indicative,Conditional Perfect,habría acampado,habrías acampado,habría acampado,habríamos acampado,habrían acampado
Acampar,Subjunctive,Present,acampe,acampes,acampe,acampemos,acampen
Acampar,Subjunctive,Imperfect,acampara,acamparas,acampara,acampáramos,acamparan
Acampar,Subjunctive,Future,acampare,acampares,acampare,acampáremos,acampasen
Acampar,Subjunctive,Present Perfect,haya acampado,hayas acampado,haya acampado,hayamos acampado,hayan acampado
Acampar,Subjunctive,Past Perfect,hubiera acampado,hubieras acampado,hubiera acampado,hubiéramos acampado,hubieran acampado
Acampar,Subjunctive,Future Perfect,hubiere acampado,hubieres acampado,hubiere acampado,hubiéremos acampado,hubieren acampado
Acampar,Imperative,Affirmative,-,acampa,acampe,acampemos,acampen
Acampar,Imperative,Negative,-,no acampes,no acampe,no acampemos,no acampen
Acceder,Indicative,Present,accedo,accedes,accede,accedemos,acceden
Acceder,Indicative,Preterite,accedí,accediste,accedió,accedimos,accedieron
Acceder,Indicative,Imperfect,accedía,accedías,accedía,accedíamos,accedían
Acceder,Indicative,Present Continuous,estoy accediendo,estás accediendo,está accediendo,estamos accediendo,están accediendo
Acceder,Indicative,Informal Future,voy a acceder,vas a acceder,va a acceder,vamos a acceder,van a acceder
Acceder,Indicative,Future,accederé,accederás,accederá,accederemos,accederán
Acceder,Indicative,Conditional,accedería,accederías,accedería,accederíamos,accederían
Acceder,Indicative,Present Perfect,he accedido,has accedido,ha accedido,hemos accedido,han accedido
Acceder,Indicative,Past Perfect,había accedido,habías accedido,había accedido,habíamos accedido,habían accedido
Acceder,Indicative,Future Perfect,habré accedido,habrás accedido,habrá accedido,habremos accedido,habrán accedido
Acceder,Indicative,Conditional Perfect,habría accedido,habrías accedido,habría accedido,habríamos accedido,habrían accedido
Acceder,Subjunctive,Present,acceda,accedas,acceda,accedamos,accedan
Acceder,Subjunctive,Imperfect,accediera,accedieras,accediera,accediéramos,accedieran
Acceder,Subjunctive,Future,accediere,accedieres,accediere,accediéremos,accedieren
Acceder,Subjunctive,Present Perfect,haya accedido,hayas accedido,haya accedido,hayamos accedido,hayan accedido
Acceder,Subjunctive,Past Perfect,hubiera accedido,hubieras accedido,hubiera accedido,hubiéramos accedido,hubieran accedido
Acceder,Subjunctive,Future Perfect,hubiere accedido,hubieres accedido,hubiere accedido,hubiéremos accedido,hubieren accedido
Acceder,Imperative,Affirmative,-,accede,acceda,accedamos,accedan
Acceder,Imperative,Negative,-,no accedas,no acceda,no accedamos,no accedan
Acelerar,Indicative,Present,acelero,aceleras,acelera,aceleramos,aceleran
Acelerar,Indicative,Preterite,aceleré,aceleraste,aceleró,aceleramos,aceleraron
Acelerar,Indicative,Imperfect,aceleraba,acelerabas,aceleraba,acelerábamos,aceleraban
Acelerar,Indicative,Present Continuous,estoy acelerando,estás acelerando,está acelerando,estamos acelerando,están acelerando
Acelerar,Indicative,Informal Future,voy a acelerar,vas a acelerar,va a acelerar,vamos a acelerar,van a acelerar
Acelerar,Indicative,Future,aceleraré,acelerarás,acelerará,aceleraremos,acelerarán
Acelerar,Indicative,Conditional,aceleraría,acelerarías,aceleraría,aceleraríamos,acelerarían
Acelerar,Indicative,Present Perfect,he acelerado,has acelerado,ha acelerado,hemos acelerado,han acelerado
Acelerar,Indicative,Past Perfect,había acelerado,habías acelerado,había acelerado,habíamos acelerado,habían acelerado
Acelerar,Indicative,Future Perfect,habré acelerado,habrás acelerado,habrá acelerado,habremos acelerado,habrán acelerado
Acelerar,Indicative,Conditional Perfect,habría acelerado,habrías acelerado,habría acelerado,habríamos acelerado,habrían acelerado
Acelerar,Subjunctive,Present,acelere,aceleres,acelere,aceleremos,aceleren
Acelerar,Subjunctive,Imperfect,acelerara,aceleraras,acelerara,aceleráramos,aceleraran
Acelerar,Subjunctive,Future,acelerare,acelerares,acelerare,aceleráremos,aceleraren
